PID,TEST_CYCLE,TEST_SUITE,TEST_CASE,TARGET RELEASE/BUILD,END TO END TEST NAME,OUTPUT LOCATION,ASSIGNED TEAM,WHEN TO RUN,MAIN FUNCTIONAL AREA,SUB FUNCTIONAL AREA,TOTAL RUN LOGS,RUN LOGS PASSED,RUN LOGS FAILED,RUN LOGS SKIPPED,RUN LOGS ERROR,EXECUTION RESULT,EXECUTION STATE 1,EXECUTION STATE 2,FAILURE MESSAGE 1,FAILURE MESSAGE 2,LINK TO EXECUTION ARTIFACTS 1,LINK TO EXECUTION ARTIFACTS 2,LINK TO LOGS 1,LINK TO LOGS 2
TR-20508690,2025-09-17_STEX,ComputerOnly_Tests,TC-119,    0.16.621_AzureDeployment_az,[TC-119] Items should be removed from explorer tree once deleted,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871745.txt,POD 8 - Fox,,Automation Object,[Automation Object],2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508690\536869187,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508690\536871745,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user25)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758147338645&to=1758147589666,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user29)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758156073612&to=1758156315013
TR-20508693,2025-09-17_STEX,ComputerOnly_Tests,TC-149,    0.16.621_AzureDeployment_az,[TC-149] Resize panels - check the canvas adopts the resizing panels,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871747.txt,POD 30 - Falcon,[PixelMatch],Ladder Diagram,"[Ladder Diagram -> Editor, Visual Design, Ladder Diagram]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508693\536869189,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508693\536871747,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user44)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758148294079&to=1758148416974,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user05)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758163208122&to=1758163349582
TR-20508694,2025-09-17_STEX,ComputerOnly_Tests,TC-163,    0.16.621_AzureDeployment_az,[TC-163] Try to create a routine with an existing routine name,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871746.txt,POD 30 - Falcon,,Ladder Diagram,"[Ladder Diagram -> Routine, Ladder Diagram]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508694\536869188,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508694\536871746,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user51)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758148367241&to=1758148483032,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user25)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758170389606&to=1758170499196
TR-20508695,2025-09-17_STEX,ComputerOnly_Tests,TC-272,    0.16.621_AzureDeployment_az,[TC-272] Check that tab is being opened with size `Tab Container width/Tab Count` ,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871738.txt,POD 7 - Capybara,,UI Components,"[UI Components, UI Components -> Tabs]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508695\536869180,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508695\536871738,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user36)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758148193497&to=1758148402251,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user57)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758183397838&to=1758183599244
TR-20508696,2025-09-17_STEX,ComputerOnly_Tests,TC-285,    0.16.621_AzureDeployment_az,[TC-285] Verify that DeviceProfile is closed when user clicks ok to add a device.,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871740.txt,POD 9 - Cobra,,UI Components,"[UI Components, UI Components -> Tabs]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508696\536869182,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508696\536871740,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user55)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758148341636&to=1758148535013,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user04)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758167933501&to=1758168139433
TR-20508697,2025-09-17_STEX,ComputerOnly_Tests,TC-288,    0.16.621_AzureDeployment_az,[TC-288][TAG-EDITOR] - Open tag editor,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871739.txt,POD 14 - Chimera,,Tag Editor,[Tag Editor],2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508697\536869181,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508697\536871739,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user13)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758147284678&to=1758147532401,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user29)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758149027777&to=1758149265288
TR-20508698,2025-09-17_STEX,ComputerOnly_Tests,TC-289,    0.16.621_AzureDeployment_az,[TC-289][TAG-EDITOR] - Delete Tag,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871742.txt,POD 14 - Chimera,[Stable Suite],Tag Editor,[Tag Editor],2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508698\536869184,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508698\536871742,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user20)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758148307577&to=1758148524428,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user29)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758155238435&to=1758155432470
TR-20508699,2025-09-17_STEX,ComputerOnly_Tests,TC-291,    0.16.621_AzureDeployment_az,[TC-291][TAG-EDITOR] Column sorting,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871741.txt,POD 14 - Chimera,,Tag Editor,[Tag Editor],2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508699\536869183,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508699\536871741,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user04)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758147470472&to=1758147687145,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user55)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758181173135&to=1758181388593
TR-20508700,2025-09-17_STEX,ComputerOnly_Tests,TC-305,    0.16.621_AzureDeployment_az,[TC-305] Start Page displayed properly and general validations,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871744.txt,POD 7 - Capybara,,UI Components,[UI Components],2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508700\536869186,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508700\536871744,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user29)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758147284199&to=1758147394790,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user37)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758172753584&to=1758172881916
TR-20508701,2025-09-17_STEX,ComputerOnly_Tests,TC-330,    0.16.621_AzureDeployment_az,[TC-330] [VD]- Grid Visual Design,https://sncstexregression1.az.ra.rockwell.com/stdouts/536871743.txt,POD 14 - Chimera,[PixelMatch],Tag Editor,"[Tag Editor, Visual Design]",2,2,0,0,0,PASSED,Passed,Passed,,,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783784\CL-36281\CL-38398\TS-139869\TR-20508701\536869185,\\stexartifacts.file.core.windows.net\regression1\CVB RAIDER\RL-48\job_11783787\CL-36281\CL-38398\TS-139869\TR-20508701\536871743,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user56)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758148336347&to=1758148484918,https://grafana-dev.ftds-dev.rockwellautomation.com/d/XkLVe0Xnk/logs-with-regex-search-2g?&var-LOKI=l-base001&var-query=:(-%7Cftdsdnightlystex01-user49)%5C%5C)&var-stream=stdout&var-namespace=ftdsdnightlystex01&var-app=All&var-container=All&var-level=All&from=1758174675715&to=1758174823831
